,depth,avg_train_accuracy,std_train_accuracy,avg_val_accuracy,std_val_accuracy
0,1.0,0.728125,0.04617180890435199,0.72375,0.08991315254177222
1,2.0,0.850625,0.02912459763670563,0.7975000000000001,0.07390872749547242
2,3.0,0.9087500000000001,0.017721808598447266,0.8637499999999999,0.061160649113625336
3,5.0,0.9643750000000001,0.007551903733496607,0.9025000000000001,0.03344772040064914
4,7.0,0.985625,0.004122158111960311,0.9225000000000001,0.017940875118009143
5,9.0,0.994375,0.0039031237489990083,0.9324999999999999,0.019921721813136544
6,10.0,0.9956250000000001,0.002072890493972111,0.925,0.02622022120425378
7,15.0,1.0,0.0,0.9487500000000001,0.013346347815039137
8,17.0,1.0,0.0,0.94625,0.012869537676233745
9,19.0,1.0,0.0,0.94625,0.020386883037875118
10,20.0,1.0,0.0,0.9450000000000001,0.014469796128487767
11,25.0,1.0,0.0,0.94375,0.017677669529663664
12,27.0,1.0,0.0,0.95,0.013693063937629153
13,30.0,1.0,0.0,0.9499999999999998,0.018114220932736774
14,,1.0,0.0,0.9475,0.011592023119369629
